"lstd_iii","lstn_iii","lstd_ii","lstn_ii","lstd_i","lstn_i","ppt_i","ppt_ii","ppt_iii","estagio","variedade","solo","espac","tch"
299.186863766606,290.494074895294,306.401095741528,291.992135501355,298.458681948424,288.992256713476,206.8,678.6,247.7,6,"RB867515","LP","1,4",55.55
298.088263764405,288.17314987715,306.461866458007,293.165227799228,297.328718309859,287.08118018018,204,734.3,187.2,6,"RB867515","LP","1,4",48.38
298.088263764405,288.17314987715,306.461866458007,293.165227799228,297.328718309859,287.08118018018,204,734.3,187.2,6,"SP801842","LP","1,4",42.7
298.088263764405,288.17314987715,306.311575452716,292.932961789376,296.880991037132,287.140422604423,204,734.3,187.2,6,"SP801842","LP","1,4",43.41
298.105824936339,288.102430916836,306.11965610517,292.990957562604,296.746734027248,287.22788546229,204,734.3,187.2,6,"RB966928","LP","1,4",43.84
301.485831786172,291.011584059776,302.263407543747,292.538207436399,308.975907543747,291.259993150685,243.9,683,175.1,5,"others","LP","1,4",58.81
301.344431818182,290.950373599004,302.711637205387,292.547191780822,308.845340909091,291.290525114155,243.9,683,175.1,5,"RB855453","LP","1,4",58.82
301.610596673254,291.08800747198,302.575174595332,292.606490316486,309.014233036891,290.792552926526,249.8,709.5,148.6,5,"others","LP","1,4",55.37
301.700768033597,290.811298436153,302.700313488142,292.485783522886,308.765313488142,290.827662072517,243.4,723,143.5,5,"others","LP","1,4",25.05
300.177546214231,291.014199445983,307.505818941504,294.757247065031,302.223000759686,287.82183580962,223.7,563.4,340.5,2,"RB966928","R","1,4",75.96
300.128579714765,290.991081076229,307.562200129438,294.966837964245,302.547872644058,288.100525520673,223.7,570,333.9,2,"RB966928","R","1,4",53.25
300.224339883435,290.966857186827,307.640188368284,294.708843492137,302.267370186466,287.893645065615,223.7,570,333.9,2,"RB966928","R","1,4",66.36
300.212641466134,290.978692751616,307.606596011589,294.722006136198,302.256277829771,287.875692751616,223.7,570,333.9,2,"RB966928","R","1,4",66.32
299.970550964187,290.868238227147,307.800460055096,294.539952512861,302.83782369146,287.546965499874,223.7,563.4,340.5,2,"RB966928","LP","1,4",75.97
299.970550964187,290.868238227147,307.800460055096,294.539952512861,302.83782369146,287.546965499874,223.7,563.4,340.5,2,"RB966928","LP","1,4",75.98
300.309170216139,290.853768873724,307.8812308222,294.55327389151,302.470988397957,287.497223419178,223.7,563.4,340.5,2,"RB966928","LP","1,4",66.09
300.888799630656,291.19790425261,307.48122387308,293.318683473389,300.213951145807,287.790631525337,154.7,733.8,340.5,2,"RB966928","LP","1,4",80.64
300.907023945379,291.279391355217,307.436342127197,293.620326656333,300.143387581743,288.07575499158,154.7,733.8,340.5,2,"RB966928","LP","1,4",80.62
301.182251381216,291.330893288737,307.379978653943,293.454399782243,299.786342290306,288.167256925101,154.7,733.8,340.5,2,"RB966928","LP","1,4",80.64
300.608446417972,291.305064820644,307.550870660396,293.684479108957,300.51223429676,288.293246638826,154.7,733.8,340.5,2,"RB966928","R","1,4",74.14
301.43836701431,291.450532691117,307.43836701431,293.520961028577,299.789276105219,288.491078145663,154.7,688.2,354.9,2,"RB966928","R","1,4",73.04
301.43836701431,291.450532691117,307.43836701431,293.520961028577,299.789276105219,288.491078145663,154.7,688.2,354.9,2,"RB966928","R","1,4",73.09
301.260893487263,291.452635829166,307.158166214536,293.757473195308,299.534832881202,288.680878253408,154.7,688.2,354.9,2,"RB966928","R","1,4",73.09
299.265595567867,289.315784313725,307.630980183252,293.939584313726,300.617262234534,288.640784313725,201.1,929.6,220.3,5,"RB867515","LP","1,4",37.18
298.606261510129,289.233389199255,307.139082022949,293.940055865922,301.197473631341,288.044601320467,203.2,927.6,220.3,5,"RB867515","LP","1,4",42.92
298.156892904313,288.812764450517,306.418035095456,293.451761998318,300.739923207344,287.387915965668,203.2,927.6,220.3,5,"RB867515","LP","1,4",40.95
298.311344430218,288.23955922865,303.859644825475,293.392216571307,306.589526248399,290.134104683196,249.9,690.9,89.6,5,"RB867515","LP","1,4",49.13
298.651140569185,287.892261571302,304.365330292505,293.142681151721,306.492049660094,289.515897934938,249.9,690.9,89.6,5,"RB867515","LP","1,4",49.12
297.512257318952,287.99765984016,303.641190125276,293.179478021978,307.261348228043,289.372205294705,249.9,690.9,89.6,5,"RB867515","LP","1,4",49.12
299.034450651769,288.006639344262,303.461117318436,292.632380085003,306.471117318436,288.372851465474,253.9,686.9,136.5,5,"RB867515","LP","1,4",64.01
298.381354451893,288.024251016107,303.39302111856,292.731473238329,307.339233239772,288.75616094864,253.9,686.9,136.5,5,"RB867515","LP","1,4",64.01
298.914269602294,287.889984520012,303.80796788114,292.696220758594,307.51093626896,289.577824287397,261.7,679.2,136.5,5,"RB867515","LP","1,4",64.02
300.947285660077,289.381595270454,304.966640498786,293.070021334685,302.288952326743,287.471064967423,223.7,903.9,154.4,6,"RB867515","LP","1,4",61.73
300.618801992528,289.498013561025,304.937922227132,293.070922651934,302.022438356164,287.5555893186,223.7,903.9,154.4,6,"RB867515","LP","1,4",61.69
295.39695006402,287.706169364882,306.651192488263,292.495260273973,297.822404609475,287.124351183064,204,786.1,145.7,5,"RB855453","LP","1,4",66.83
295.421113956466,287.704821162444,306.027962441315,292.520639344262,297.435962441315,287.523306010929,213.1,792.2,150.2,5,"RB855453","LP","1,4",66.83
295.935653729884,288.167624276479,306.513075708539,292.858897003751,296.625653729884,287.823078821933,222.3,798.4,154.7,5,"RB855453","LP","1,4",66.85
300.389810900877,288.753173179346,298.686814267881,291.149267455441,310.181112645711,294.918627724801,238.4,446.6,191.1,5,"SP813250","LP","1,4",48.01
301.016273245013,288.652105858622,298.894303548043,291.1773836364,309.768379371855,294.987105858622,238.4,446.6,191.1,5,"RB72454","LP","1,4",43.21
296.553627420615,288.460970960857,305.719384996373,292.346122476009,300.35014257213,287.395480248918,148.4,868.6,95,5,"RB867515","LP","1,4",44.35
296.553627420615,288.460970960857,305.719384996373,292.346122476009,300.35014257213,287.395480248918,148.4,868.6,95,5,"RB867515","LP","1,4",44.35
297.534595845891,288.526526794779,304.998516268785,292.297057097809,299.368080694376,287.444026794779,148.4,882.9,80.7,5,"SP813250","LP","1,4",66.83
297.399232954545,288.658833333333,305.066732954545,292.3955,299.7896875,287.330045454545,148.4,882.9,80.7,5,"RB867515","LP","1,4",66.84
296.443392871402,287.374116879333,305.630988961736,292.703207788424,297.788809538068,287.811398198909,213.1,906.8,97.4,5,"RB867515","LP","1,4",50.16
296.907397185759,287.162728937729,305.516185064546,292.715456210456,298.057094155456,287.681213786214,194.1,898.1,96.1,5,"RB867515","LP","1,4",50.12
296.671505681818,288.486409090909,299.262804383117,291.972642857143,310.519788510101,294.8115,248.4,389.4,95,2,"RB867515","LP","1,4",52.47
305.385111111111,292.400388888889,298.366777777778,290.59231871345,306.888111111111,295.227055555556,441,398.3,328.4,4,"RB867515","LP","1,4",45.86
303.860634375918,294.421886883245,302.467111648645,292.106886883245,307.086276346939,294.299386883245,607.2,1124.5,429.8,1,"RB966928","LP","1,4",55.86
303.860634375918,294.421886883245,302.467111648645,292.106886883245,307.086276346939,294.299386883245,607.2,1124.5,429.8,1,"RB966928","LP","1,4",55.88
303.552021632758,294.464765363128,302.214385269122,292.198765363128,306.922930723667,294.400265363128,607.2,1124.5,429.8,1,"RB966928","LP","1,4",55.86
303.948453424133,294.402502595254,302.559067060496,292.019971316096,307.23596794359,294.292392735742,607.2,1124.5,429.8,1,"RB966928","LP","1,4",58.85
303.785021766965,293.637318559557,306.34744600939,292.538954923193,298.07744600939,290.08865189289,245.2,592.9,419.6,1,"RB966928","LP","1,4",56.43
303.785021766965,293.637318559557,306.34744600939,292.538954923193,298.07744600939,290.08865189289,245.2,592.9,419.6,1,"RB966928","LP","1,4",56.37
298.531972625895,290.474645206291,307.200305959228,292.921020963866,297.672881716804,287.867372479018,231.1,845.8,264.9,5,"RB867515","LP","1,4",67.79
305.421123925322,292.282376236329,300.352127713201,290.899448963602,310.078851198049,295.228648963602,298.8,661.8,328.4,5,"RB867515","LP","1,4",64.38
297.59889206415,287.906933283107,305.589492107453,293.187136517105,299.691619336877,287.206024192198,201.1,991.4,189.4,5,"RB867515","LP","1,4",57.45
