"","safra","codFaz","bloco","talhao","estagio","variedade","tipoProp","usina","ambProd","tchEst","tchReal","days"
"1",21213,430001,1,1,"4","RB855453 ","PARC","COR","B",60,56.3,412
"2",21213,430001,1,2,"4","SP813250","PARC","COR","B",80,75.07,412
"3",21213,430001,1,3,"4","SP813250","PARC","COR","B",80,74.95,407
"4",21213,430001,1,4,"4","SP813250","PARC","COR","B",80,72.89,402
"5",21213,430001,1,5,"4","RB72454","PARC","COR","F",80,75.08,388
"6",21213,430001,1,5,"4","RB72454","PARC","COR","F",80,75.08,388
"7",21213,430001,1,6,"4","RB72454","PARC","COR","G",80,75.08,389
"8",21213,430001,1,7,"4","RB72454","PARC","COR","G",65,60.99,389
"9",21213,430001,1,8,"4","RB72454","PARC","COR","F",80,75.09,392
"10",21213,430001,1,8,"4","RB72454","PARC","COR","F",80,75.09,392
"12",21213,430001,1,10,"4","RB855453 ","PARC","COR","B",60,56.29,412
"13",21213,430001,1,11,"4","RB855453 ","PARC","COR","B",80,75.08,391
"14",21213,430001,1,12,"4","SP813250","PARC","COR","G",90,84.43,387
"15",21213,430001,1,12,"4","SP813250","PARC","COR","G",90,84.43,387
"16",21213,430001,1,13,"3","SP813250","PARC","COR","C",80,75.08,407
"17",21213,430001,1,14,"3","SP813250","PARC","COR","C",80,75.05,412
"18",21213,430001,1,15,"4","SP813250","PARC","COR","C",80,74.87,383
"19",21213,430001,1,17,"4","SP813250","PARC","COR","C",80,78.96,385
"20",21213,430001,1,17,"4","SP813250","PARC","COR","C",80,78.96,385
"21",21213,430002,1,1,"3","SP813250","PARC","COR","G",50,49.76,370
"22",21213,430002,1,2,"3","SP813250","PARC","COR","G",50,49.77,371
"23",21213,430002,1,3,"3","SP813250","PARC","COR","G",50,49.79,369
"24",21213,430002,1,4,"3","SP813250","PARC","COR","G",50,49.79,371
"25",21213,430002,1,5,"3","SP813250","PARC","COR","G",50,49.8,371
"26",21213,430002,1,6,"3","SP813250","PARC","COR","G",60,59.74,370
"27",21213,430002,1,7,"3","SP813250","PARC","COR","G",60,59.71,371
"28",21213,430002,1,8,"3","SP813250","PARC","COR","G",60,59.7,369
"29",21213,430002,1,9,"3","SP813250","PARC","COR","G",60,59.76,370
"30",21213,430002,1,10,"3","SP813250","PARC","COR","G",60,61.37,370
"31",21213,430002,1,11,"3","SP813250","PARC","COR","G",60,61.4,372
"32",21213,430002,1,12,"3","SP813250","PARC","COR","G",60,61.38,371
"33",21213,430002,1,13,"3","SP813250","PARC","COR","G",60,61.41,368
"34",21213,430002,1,14,"3","SP813250","PARC","COR","G",60,61.33,369
"35",21213,430002,1,15,"3","SP813250","PARC","COR","G",60,61.39,369
"36",21213,430002,1,16,"3","SP813250","PARC","COR","G",60,61.45,371
