,safra,codFaz,bloco,talhao,estagio,variedade,usina,ambProd,tchEst,tchReal,days
0,21213,430001,1,1,4,RB855453,COR,B,60.0,56.3,412
1,21213,430001,1,2,4,SP813250,COR,B,80.0,75.07,412
2,21213,430001,1,3,4,SP813250,COR,B,80.0,74.95,407
3,21213,430001,1,4,4,SP813250,COR,B,80.0,72.89,402
4,21213,430001,1,5,4,RB72454,COR,F,80.0,75.08,388
5,21213,430001,1,5,4,RB72454,COR,F,80.0,75.08,388
6,21213,430001,1,6,4,RB72454,COR,G,80.0,75.08,389
7,21213,430001,1,7,4,RB72454,COR,G,65.0,60.99,389
8,21213,430001,1,8,4,RB72454,COR,F,80.0,75.09,392
9,21213,430001,1,8,4,RB72454,COR,F,80.0,75.09,392
10,21213,430001,1,10,4,RB855453,COR,B,60.0,56.29,412
11,21213,430001,1,11,4,RB855453,COR,B,80.0,75.08,391
12,21213,430001,1,12,4,SP813250,COR,G,90.0,84.43,387
13,21213,430001,1,12,4,SP813250,COR,G,90.0,84.43,387
14,21213,430001,1,13,3,SP813250,COR,C,80.0,75.08,407
15,21213,430001,1,14,3,SP813250,COR,C,80.0,75.05,412
16,21213,430001,1,15,4,SP813250,COR,C,80.0,74.87,383
17,21213,430001,1,17,4,SP813250,COR,C,80.0,78.96,385
18,21213,430001,1,17,4,SP813250,COR,C,80.0,78.96,385
19,21213,430002,1,1,3,SP813250,COR,G,50.0,49.76,370
20,21213,430002,1,2,3,SP813250,COR,G,50.0,49.77,371
21,21213,430002,1,3,3,SP813250,COR,G,50.0,49.79,369
22,21213,430002,1,4,3,SP813250,COR,G,50.0,49.79,371
23,21213,430002,1,5,3,SP813250,COR,G,50.0,49.8,371
24,21213,430002,1,6,3,SP813250,COR,G,60.0,59.74,370
25,21213,430002,1,7,3,SP813250,COR,G,60.0,59.71,371
26,21213,430002,1,8,3,SP813250,COR,G,60.0,59.7,369
27,21213,430002,1,9,3,SP813250,COR,G,60.0,59.76,370
28,21213,430002,1,10,3,SP813250,COR,G,60.0,61.37,370
29,21213,430002,1,11,3,SP813250,COR,G,60.0,61.4,372
30,21213,430002,1,12,3,SP813250,COR,G,60.0,61.38,371
